economy,series,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023
ITA,NY.GDP.PCAP.CD,20190.0035636084,20570.4385917862,22451.3964379368,27577.5700319855,31348.1901841445,32062.723833669,33537.1286994269,37826.1754554823,40828.5795580937,37099.6133958219,35856.8625485539,38432.3742820019,34854.3949441965,35701.6746002376,36028.3494022349,30639.8829751432,31391.5692898108,32844.115660604,34904.1081923834,33812.788724868,32091.4866621366,36852.5425414951,35653.9042103495,39065.4244365633
ITA,SP.DYN.LE00.IN,79.7780487804878,80.1268292682927,80.2292682926829,79.9829268292683,80.7804878048781,80.7829268292683,81.2829268292683,81.4341463414634,81.4853658536585,81.6365853658537,82.0365853658537,82.1878048780488,82.2390243902439,82.690243902439,83.090243902439,82.5439024390244,83.2439024390244,82.9463414634147,83.3463414634146,83.4975609756098,82.1951219512195,82.6463414634146,82.7,83.7
LTU,NY.GDP.PCAP.CD,3300.63634928559,3532.52787363242,4148.13091485015,5507.47434187652,6734.57487061946,7857.03148786492,9210.10118229413,12295.1212779366,14955.5345462921,11854.3711053096,11829.122609457,14261.8433787325,14288.1853493139,15636.5252586048,16446.1647181663,14269.8039878287,14934.2702840428,16800.1510246099,19247.2315367967,19608.7943945553,20428.6478157394,23870.4594851722,25085.784063499,27786.0057829276
LTU,SP.DYN.LE00.IN,72.0195121951219,71.6585365853659,71.7609756097561,72.0609756097561,71.9609756097561,71.2536585365854,71.0560975609756,70.9,71.8121951219512,72.9146341463415,73.2682926829268,73.5634146341464,73.8634146341464,73.9146341463415,74.5170731707317,74.3219512195122,74.6707317073171,75.4804878048781,75.6804878048781,76.2829268292683,75.0292682926829,74.0365853658537,75.6439024390244,76.9878048780488
LUX,NY.GDP.PCAP.CD,48659.5988753233,48440.1420151355,53005.7339209179,65689.3214536911,76544.9170868473,80988.1376230858,90788.8004876145,107475.320297978,120422.137934157,109419.746953106,110885.991378721,119025.057203467,112584.676270958,120000.140729859,123678.702143275,105462.012584423,106899.293549552,110193.213797228,116926.759593905,112696.649059674,116860.02817236,134965.815442152,123719.658915996,131407.681364513
LUX,SP.DYN.LE00.IN,77.8731707317073,77.8243902439025,77.9658536585366,77.7268292682927,79.1219512195122,79.4317073170732,79.2878048780488,79.3829268292683,80.5390243902439,80.6365853658537,80.6317073170732,80.9878048780488,81.3926829268293,81.8,82.2292682926829,82.2926829268293,82.6853658536585,82.0951219512195,82.2951219512195,82.6390243902439,82.1439024390244,82.5975609756098,82.9463414634147,83.3585365853659
LVA,NY.GDP.PCAP.CD,3278.17896440803,3504.61829462397,4003.60935783538,4914.57992829302,6109.73265186817,7283.78738127622,9211.7374468148,13370.9789452508,15677.6080864506,11996.0322729773,11188.4191700977,12902.574053337,13329.3499931271,14484.4715282132,15185.814581236,13321.9753140616,13838.5266823272,15132.4958333982,17252.1710428626,17294.9751600969,17564.2321549354,20261.8887788916,20227.2307431581,22675.5786295407
LVA,SP.DYN.LE00.IN,70.3146341463415,70.7609756097561,70.9609756097561,71.2658536585366,72.0268292682927,71.3560975609756,70.8658536585366,71.019512195122,72.419512195122,73.0804878048781,73.4829268292683,73.5756097560976,73.7780487804878,73.9829268292683,74.1243902439024,74.4804878048781,74.580487804878,74.6292682926829,74.7829268292683,75.3878048780488,75.1853658536585,72.9804878048781,74.2780487804878,75.6780487804878
MLT,NY.GDP.PCAP.CD,10348.4860163,10357.7026407269,11251.2024877398,13593.9787182902,15212.1312964883,15831.3439802756,16653.6038312389,19444.1743635565,22315.3104812611,21176.3216665018,21946.6070188242,23516.9691282762,22878.3131257656,25415.5566806942,27424.5765369278,25529.6813131565,26459.0772054811,30317.2443357939,33382.2677502638,32421.9179753188,31833.596382464,38065.354346575,36224.2819955817,40182.4313854634
MLT,SP.DYN.LE00.IN,78.3487804878049,78.8439024390244,78.7390243902439,78.5463414634146,79.2536585365854,79.3,79.4390243902439,79.7926829268293,79.6365853658537,80.2414634146342,81.3975609756098,80.7463414634146,80.7463414634146,81.7463414634146,82.0463414634146,81.8975609756097,82.4536585365854,82.3463414634146,82.2487804878049,82.6585365853659,82.0975609756098,82.2585365853659,82.4487804878049,83.5073170731707
